order_id,customer_id,product_id,quantity,order_date
1001,107,140,2.0,2026-06-06
1002,197,160,3.0,2026-05-14
1003,153,153,1.0,2026-03-08
1004,101,154,1.0,2026-05-07
1005,159,139,4.0,2026-01-01
1006,243,122,4.0,2026-01-07
1007,103,126,3.0,2026-04-02
1008,39,109,2.0,2026-04-24
1009,103,126,2.0,2026-06-19
1010,211,122,1.0,2026-05-18
1011,55,103,1.0,2026-02-16
1012,238,113,5.0,2026-05-28
1013,148,133,1.0,2026-03-30
1014,151,123,3.0,2026-05-30
1015,80,160,3.0,2026-02-01
1016,231,129,1.0,2026-01-05
1017,10,158,1.0,2026-01-11
1018,75,140,3.0,2026-06-29
1019,105,103,1.0,2026-01-15
1020,120,113,2.0,2026-06-20
1021,119,143,5.0,2026-05-12
1022,37,133,3.0,2026-01-27
1023,57,119,4.0,2026-06-06
1024,24,132,1.0,2026-01-27
1025,144,155,1.0,2026-01-26
1026,88,124,1.0,2026-04-15
1027,142,103,1.0,2026-02-22
1028,148,119,1.0,2026-02-22
1029,176,157,5.0,2026-02-05
1030,137,146,1.0,2026-04-20
1031,162,151,3.0,2026-01-05
1032,147,155,2.0,2026-02-14
1033,164,108,2.0,2026-04-11
1034,155,117,1.0,2026-03-30
1035,80,104,1.0,2026-05-07
1036,62,101,2.0,2026-02-09
1037,197,151,1.0,2026-04-28
1038,86,157,3.0,2026-05-18
1039,138,110,1.0,12/03/2026
1040,50,144,1.0,2026-02-16
1041,108,133,3.0,2026-04-11
1042,133,105,2.0,2026-04-15
1043,157,155,1.0,2026-01-18
1044,132,153,5.0,2026-04-13
1045,91,135,1.0,2026-01-28
1046,241,143,5.0,2026-04-13
1047,129,124,3.0,2026-06-18
1048,203,148,5.0,2026-04-08
1049,185,127,5.0,2026-05-18
1050,140,160,1.0,2026-02-26
1051,222,104,4.0,2026-06-17
1052,33,111,1.0,2026-05-28
1053,231,159,2.0,2026-06-15
1054,213,118,1.0,2026-05-15
1055,126,119,2.0,2026-04-28
1056,184,148,4.0,2026-04-06
1057,131,112,2.0,2026-06-18
1058,68,131,1.0,2026-06-03
1059,200,118,1.0,2026-03-17
1060,62,112,4.0,2026-01-16
1061,79,158,2.0,2026-01-01
1062,130,112,2.0,2026-02-12
1063,210,106,2.0,2026-01-12
1064,96,141,1.0,2026-02-08
1065,124,153,2.0,2026-01-20
1066,11,108,3.0,2026-06-27
1067,29,143,,2026-01-18
1068,14,133,2.0,2026-04-24
1069,19,150,5.0,2026-03-05
1070,218,108,4.0,2026-02-01
1071,211,159,1.0,2026-05-07
1072,206,138,2.0,2026-06-25
1073,14,151,2.0,2026-05-24
1074,20,122,1.0,2026-06-26
1075,71,157,1.0,2026-04-17
1076,142,138,4.0,2026-05-02
1077,84,108,1.0,2026-01-27
1078,122,156,1.0,2026-06-04
1079,44,148,1.0,2026-05-16
1080,183,119,1.0,2026-02-15
1081,79,133,1.0,2026-03-06
1082,17,124,1.0,2026-04-21
1083,186,133,4.0,2026-01-03
1084,226,158,4.0,2026-05-29
1085,4,154,2.0,2026-02-20
1086,110,113,2.0,2026-01-14
1087,207,159,5.0,2026-03-01
1088,177,127,4.0,2026-06-01
1089,215,143,1.0,2026-02-19
1090,104,146,5.0,08/04/2026
1091,94,129,1.0,2026-05-27
1092,178,128,1.0,2026-01-07
1093,39,128,2.0,2026-05-18
1094,60,152,3.0,2026-02-22
1095,151,124,1.0,2026-05-06
1096,168,117,1.0,2026-02-04
1097,30,122,1.0,2026-01-26
1098,128,112,2.0,2026-05-23
1099,92,124,5.0,2026-05-27
1100,126,107,1.0,2026-06-27
1101,240,106,1.0,03/05/2026
1102,20,144,1.0,2026-03-26
1103,249,105,1.0,2026-02-05
1104,113,135,1.0,2026-02-23
1105,194,147,2.0,2026-04-28
1106,107,144,2.0,2026-03-04
1107,78,127,2.0,2026-03-29
1108,193,112,4.0,2026-01-31
1109,172,156,2.0,2026-03-21
1110,37,151,1.0,2026-02-13
1111,177,137,2.0,2026-01-21
1112,189,106,1.0,2026-01-24
1113,97,103,4.0,2026-04-04
1114,232,119,1.0,2026-03-08
1115,161,110,1.0,2026-01-19
1116,84,152,3.0,2026-04-04
1117,3,113,2.0,2026-01-30
1118,169,117,1.0,2026-01-03
1119,53,159,3.0,2026-01-24
1120,190,150,1.0,2026-03-23
1121,132,114,4.0,2026-06-22
1122,117,124,4.0,2026-02-13
1123,41,131,1.0,2026-02-21
1124,178,140,2.0,2026-02-13
1125,42,157,2.0,2026-03-06
1126,105,153,3.0,2026-05-10
1127,210,159,1.0,2026-02-28
1128,231,103,,30/04/2026
1129,248,115,1.0,2026-06-12
1130,240,134,3.0,2026-06-21
1131,139,103,1.0,2026-04-12
1132,51,122,2.0,2026-05-10
1133,210,110,3.0,2026-06-16
1134,201,156,5.0,2026-05-23
1135,248,104,1.0,2026-02-24
1136,163,109,1.0,2026-01-24
1137,36,112,3.0,2026-01-21
1138,126,109,1.0,2026-06-09
1139,113,135,1.0,2026-04-11
1140,211,122,5.0,2026-02-23
1141,99,155,4.0,2026-03-04
1142,83,116,3.0,2026-02-20
1143,21,133,4.0,2026-05-26
1144,209,140,1.0,2026-04-21
1145,189,138,1.0,2026-06-09
1146,11,148,1.0,2026-02-24
1147,109,113,1.0,2026-03-27
1148,120,131,5.0,2026-01-23
1149,118,149,1.0,2026-06-25
1150,230,152,2.0,2026-04-03
1151,38,138,4.0,2026-04-11
1152,77,140,3.0,2026-03-16
1153,46,152,1.0,2026-02-19
1154,62,138,2.0,2026-06-21
1155,227,157,2.0,2026-03-30
1156,236,108,4.0,2026-05-03
1157,12,121,2.0,2026-01-07
1158,159,107,1.0,2026-02-19
1159,59,106,4.0,2026-05-26
1160,49,129,5.0,2026-01-16
1161,74,114,2.0,2026-01-19
1162,49,125,1.0,2026-05-27
1163,123,127,2.0,2026-02-25
1164,249,138,5.0,2026-02-19
1165,147,157,5.0,2026-04-13
1166,181,151,2.0,2026-02-05
1167,124,123,1.0,2026-01-08
1168,4,120,2.0,2026-01-01
1169,22,147,4.0,2026-01-15
1170,68,108,5.0,29/01/2026
1171,61,133,1.0,2026-05-06
1172,211,126,1.0,2026-02-23
1173,211,111,2.0,2026-01-13
1174,214,137,1.0,2026-01-03
1175,160,120,5.0,2026-03-28
1176,140,112,1.0,2026-06-02
1177,163,140,3.0,03/03/2026
1178,102,111,5.0,2026-01-12
1179,168,141,3.0,2026-02-11
1180,199,110,4.0,2026-04-01
1181,191,127,1.0,2026-02-04
1182,154,149,4.0,2026-06-27
1183,15,114,2.0,2026-05-19
1184,182,147,1.0,2026-03-04
1185,92,144,1.0,2026-06-22
1186,186,155,1.0,28/02/2026
1187,135,111,2.0,2026-01-26
1188,221,143,1.0,2026-06-19
1189,85,157,2.0,2026-06-23
1190,233,146,2.0,2026-02-26
1191,212,112,1.0,2026-04-18
1192,83,150,3.0,2026-02-01
1193,121,107,1.0,2026-04-27
1194,133,136,4.0,2026-05-05
1195,193,130,1.0,2026-05-09
1196,173,132,4.0,2026-04-13
1197,214,132,1.0,2026-05-08
1198,93,102,1.0,2026-04-11
1199,127,131,1.0,2026-05-29
1200,108,157,4.0,2026-02-02
1201,228,127,4.0,2026-03-29
1202,77,117,1.0,2026-03-17
1203,147,160,2.0,2026-04-07
1204,31,106,2.0,2026-01-26
1205,213,130,1.0,2026-02-28
1206,97,131,2.0,2026-06-22
1207,86,129,3.0,2026-01-20
1208,146,156,5.0,2026-04-25
1209,125,126,4.0,2026-05-01
1210,212,159,1.0,2026-03-27
1211,133,105,1.0,2026-01-07
1212,130,145,2.0,2026-01-07
1213,27,136,1.0,2026-02-19
1214,6,115,2.0,2026-01-19
1215,100,114,1.0,2026-01-18
1216,250,144,1.0,2026-01-29
1217,230,139,1.0,2026-02-04
1218,158,137,1.0,2026-06-01
1219,158,104,4.0,2026-04-26
1220,98,136,1.0,2026-01-06
1221,45,159,5.0,2026-04-24
1222,3,102,1.0,2026-01-25
1223,85,129,1.0,2026-03-18
1224,80,130,1.0,2026-01-07
1225,48,154,3.0,2026-01-17
1226,65,117,1.0,2026-01-24
1227,7,129,1.0,2026-03-20
1228,152,144,4.0,2026-03-25
1229,232,104,2.0,2026-03-05
1230,173,149,1.0,2026-04-23
1231,113,150,4.0,2026-05-11
1232,106,144,4.0,2026-05-12
1233,77,139,1.0,2026-04-15
1234,36,145,2.0,2026-04-09
1235,150,147,1.0,2026-03-30
1236,142,155,1.0,2026-02-13
1237,2,126,2.0,2026-03-30
1238,104,128,1.0,2026-01-02
1239,70,139,5.0,2026-06-24
1240,43,112,5.0,2026-03-08
1241,176,152,1.0,2026-05-17
1242,132,147,2.0,2026-06-23
1243,159,138,1.0,2026-03-31
1244,179,119,2.0,2026-06-05
1245,246,121,1.0,2026-03-28
1246,201,127,2.0,2026-01-24
1247,156,140,2.0,2026-01-05
1248,220,147,2.0,2026-01-25
1249,120,141,2.0,2026-06-20
1250,247,156,1.0,2026-03-27
1251,191,158,4.0,2026-02-27
1252,163,143,3.0,2026-03-22
1253,226,123,4.0,2026-02-16
1254,129,136,2.0,2026-06-07
1255,181,126,5.0,2026-06-30
1256,72,138,2.0,2026-01-16
1257,241,149,4.0,2026-05-11
1258,156,123,1.0,2026-03-02
1259,196,131,1.0,2026-01-09
1260,116,103,2.0,2026-06-16
1261,217,145,2.0,2026-01-12
1262,19,130,3.0,07/02/2026
1263,29,128,1.0,2026-01-05
1264,127,132,4.0,2026-03-27
1265,184,113,1.0,2026-04-19
1266,203,136,2.0,28/02/2026
1267,111,145,5.0,13/01/2026
1268,163,121,2.0,2026-01-22
1269,139,108,3.0,2026-06-18
1270,241,124,5.0,26/05/2026
1271,164,112,5.0,2026-06-19
1272,105,123,2.0,2026-04-07
1273,243,138,2.0,2026-04-09
1274,27,107,1.0,2026-05-23
1275,247,145,2.0,2026-04-22
1276,39,114,5.0,2026-03-20
1277,73,154,2.0,2026-02-22
1278,206,144,1.0,2026-03-29
1279,184,117,1.0,2026-01-12
1280,243,134,2.0,2026-02-04
1281,188,107,1.0,2026-05-14
1282,160,106,5.0,2026-06-07
1283,87,158,2.0,2026-01-19
1284,2,149,1.0,2026-01-18
1285,31,110,1.0,2026-01-16
1286,75,117,4.0,2026-05-24
1287,11,112,5.0,2026-02-26
1288,128,124,4.0,2026-03-01
1289,195,118,1.0,2026-01-03
1290,241,120,1.0,26/06/2026
1291,123,132,1.0,2026-03-20
1292,219,112,4.0,2026-05-25
1293,247,153,4.0,2026-05-09
1294,215,144,4.0,2026-01-26
1295,117,146,1.0,2026-05-26
1296,82,111,1.0,2026-04-10
1297,245,143,5.0,2026-04-20
1298,61,151,5.0,2026-02-06
1299,103,111,3.0,2026-06-03
1300,19,146,1.0,2026-06-18
1301,199,122,1.0,2026-03-15
1302,163,148,1.0,2026-01-17
1303,22,129,3.0,2026-06-03
1304,56,149,4.0,2026-06-10
1305,139,109,3.0,2026-04-02
1306,136,124,1.0,2026-04-15
1307,201,117,4.0,2026-02-10
1308,67,115,1.0,2026-01-13
1309,232,119,4.0,2026-06-20
1310,112,123,5.0,2026-03-29
1311,206,108,3.0,2026-02-19
1312,60,143,5.0,06/05/2026
1313,10,134,2.0,2026-01-05
1314,14,150,2.0,2026-01-15
1315,94,143,1.0,2026-02-13
1316,239,109,5.0,2026-03-23
1317,13,105,3.0,2026-03-08
1318,93,126,1.0,2026-02-03
1319,28,129,5.0,2026-03-05
1320,233,115,1.0,2026-03-02
1321,169,147,2.0,2026-04-05
1322,191,135,1.0,2026-04-12
1323,179,145,3.0,2026-06-09
1324,165,107,2.0,2026-05-27
1325,194,149,2.0,2026-02-22
1326,3,113,3.0,2026-06-13
1327,217,127,4.0,2026-04-05
1328,185,127,2.0,03/02/2026
1329,185,150,5.0,2026-03-03
1330,99,117,2.0,2026-05-15
1331,201,115,1.0,2026-05-29
1332,96,121,1.0,2026-03-09
1333,13,122,1.0,2026-01-29
1334,227,111,3.0,2026-02-04
1335,59,111,2.0,2026-01-19
1336,26,114,1.0,2026-05-07
1337,156,129,2.0,2026-04-02
1338,59,121,4.0,2026-03-23
1339,215,124,2.0,2026-05-02
1340,111,144,1.0,2026-05-30
1341,2,115,1.0,2026-05-24
1342,238,155,2.0,2026-01-25
1343,129,146,2.0,2026-04-17
1344,66,111,4.0,2026-06-09
1345,170,119,2.0,2026-05-21
1346,133,112,4.0,2026-03-01
1347,8,117,2.0,2026-03-13
1348,190,122,1.0,2026-06-11
